Name,Dealer Page Link,List Address,Phone,Website,Inventory Count,Score,Review Count,Business Hours,State,Website Provider,Website Phone,Website Email,Chat Widget,Dealer Type,Google Map Phone,Google Map Website,google maps url,Website Enrichment Notes
Starrs Used Cars,https://www.cargurus.com/Cars/m-Starrs-Used-Cars-sp283787,"504 S Chestnut St, Barnesville, OH 43713 (12 mi)",Not Specified,Not Specified,14,4.2,5,WED 9:00 AM-5:00 PM MON 9:00 AM-5:00 PM THU 9:00 AM-5:00 PM TUE 9:00 AM-5:00 PM FRI 9:00 AM-5:00 PM SAT 9:00 AM-3:00 PM,Ohio,,,,,private,(740) 425-1999,http://www.starrsusedcars.com/,https://www.google.com/maps/search/?api=1&query=Starrs%20Used%20Cars%20504%20S%20Chestnut%20St%2C%20Barnesville%2C%20OH%2043713%20%2812%20mi%29,No dealer website provided
Joe's Preowned Autos,https://www.cargurus.com/Cars/m-Joes-Preowned-Autos-sp386203,"1012 Lafayette Avenue, Moundsville, WV 26041 (16 mi)",(304) 245-6217,http://www.joesautos.net/,74,4.14,7,WED 9:00 AM-7:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-6:00 PM SAT 9:00 AM-3:00 PM,Ohio,,,,,private,(304) 845-6636,http://www.joesautos.net/,https://www.google.com/maps/search/?api=1&query=Joe%27s%20Preowned%20Autos%201012%20Lafayette%20Avenue%2C%20Moundsville%2C%20WV%2026041%20%2816%20mi%29,Website could not be loaded
Straub Chrysler Dodge Jeep Ram,https://www.cargurus.com/Cars/m-Straub-Chrysler-Dodge-Jeep-Ram-sp376790,"1502 Wheeling Ave, Glen Dale, WV 26038 (16 mi)",(304) 407-7407,http://www.straubcdjr.com/,97,1,1,WED 9:00 AM-8:00 PM MON 9:00 AM-8:00 PM THU 9:00 AM-8:00 PM TUE 9:00 AM-8:00 PM FRI 9:00 AM-7:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,franchise,(304) 850-8353,https://www.straubcdjr.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,https://www.google.com/maps/search/?api=1&query=Straub%20Chrysler%20Dodge%20Jeep%20Ram%201502%20Wheeling%20Ave%2C%20Glen%20Dale%2C%20WV%2026038%20%2816%20mi%29,Website could not be loaded
Straub Ford,https://www.cargurus.com/Cars/m-Straub-Ford-sp413457,"20 Jefferson Avenue Extension, Moundsville, WV 26041 (16 mi)",(304) 689-5787,http://www.straubford.com/,74,5,3,WED 9:00 AM-8:00 PM MON 9:00 AM-8:00 PM THU 9:00 AM-8:00 PM TUE 9:00 AM-8:00 PM FRI 9:00 AM-7:00 PM SAT 9:00 AM-5:00 PM,Ohio,,,,,franchise,(304) 845-4244,https://www.straubford.com/?utm_source=gmbsls&utm_medium=social&mcmid=gmbsls,https://www.google.com/maps/search/?api=1&query=Straub%20Ford%2020%20Jefferson%20Avenue%20Extension%2C%20Moundsville%2C%20WV%2026041%20%2816%20mi%29,Website could not be loaded
River Front Motors,https://www.cargurus.com/Cars/m-River-Front-Motors-sp459507,"52615 National Rd E, St Clairsville, OH 43950 (19 mi)",(740) 715-3761,https://www.riverfrontmotors.com/,29,4.33,3,WED 9:30 AM-6:00 PM MON 9:30 AM-6:00 PM THU 9:30 AM-6:00 PM TUE 9:30 AM-6:00 PM FRI 9:30 AM-6:00 PM SAT 10:30 AM-3:00 PM,Ohio,,,,,private,(740) 793-3302,,https://www.google.com/maps/search/?api=1&query=River%20Front%20Motors%2052615%20National%20Rd%20E%2C%20St%20Clairsville%2C%20OH%2043950%20%2819%20mi%29,Website could not be loaded
Bell Chevrolet,https://www.cargurus.com/Cars/m-Bell-Chevrolet-sp53872,"600 Chelsea St, Sistersville, WV 26175 (20 mi)",(304) 823-4514,https://www.bellchevrolet.com/,31,0,0,WED 8:00 AM-5:00 PM MON 8:00 AM-5:00 PM THU 8:00 AM-5:00 PM TUE 8:00 AM-5:00 PM FRI 8:00 AM-5:00 PM SAT 9:00 AM-12:00 PM,Ohio,,,,,franchise,(304) 652-5005,,https://www.google.com/maps/search/?api=1&query=Bell%20Chevrolet%20600%20Chelsea%20St%2C%20Sistersville%2C%20WV%2026175%20%2820%20mi%29,Website could not be loaded
Ohio Motor Group 1,https://www.cargurus.com/Cars/m-Ohio-Motor-Group-1-sp305412,"56341 National Rd, Bridgeport, OH 43912 (21 mi)",(740) 227-8307,https://ohiomotorgroup.com/,35,5,1,WED 9:00 AM-7:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM SUN 12:00 PM-4:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-6:00 PM SAT 9:00 AM-4:00 PM,Ohio,,,,,private,(740) 633-0039,,https://www.google.com/maps/search/?api=1&query=Ohio%20Motor%20Group%201%2056341%20National%20Rd%2C%20Bridgeport%2C%20OH%2043912%20%2821%20mi%29,Website could not be loaded
Elite Auto Outlet,https://www.cargurus.com/Cars/m-Elite-Auto-Outlet-sp305089,"841 National Rd, Bridgeport, OH 43912 (21 mi)",(740) 326-4235,http://www.eliteautooutlet.com,5,0,0,WED 9:30 AM-6:00 PM MON 9:30 AM-6:00 PM THU 9:30 AM-7:00 PM TUE 9:30 AM-7:00 PM FRI 9:30 AM-6:00 PM SAT 10:00 AM-4:30 PM,Ohio,,,,,private,(740) 633-8888,,https://www.google.com/maps/search/?api=1&query=Elite%20Auto%20Outlet%20841%20National%20Rd%2C%20Bridgeport%2C%20OH%2043912%20%2821%20mi%29,Website could not be loaded
Economy Auto Sales II,https://www.cargurus.com/Cars/m-Economy-Auto-Sales-II-sp349400,"206 S Lincoln Ave, Bridgeport, OH 43912 (22 mi)",(740) 631-2077,https://www.economyautosalesinc.com/default.aspx,20,5,2,WED 9:00 AM-5:00 PM MON 9:00 AM-7:00 PM THU 9:00 AM-7:00 PM TUE 9:00 AM-7:00 PM FRI 9:00 AM-5:00 PM SAT 9:00 AM-2:00 PM,Ohio,,,,,private,(740) 633-1300,http://www.economyautosalesinc.com/,https://www.google.com/maps/search/?api=1&query=Economy%20Auto%20Sales%20II%20206%20S%20Lincoln%20Ave%2C%20Bridgeport%2C%20OH%2043912%20%2822%20mi%29,Website could not be loaded
Taylor's Preowned Autos,https://www.cargurus.com/Cars/m-Taylors-Preowned-Autos-sp451656,"430 National Rd, Wheeling, WV 26003 (24 mi)",Not Specified,Not Specified,41,5,1,WED 9:00 AM-5:00 PM MON 9:00 AM-5:00 PM THU 9:00 AM-5:00 PM TUE 9:00 AM-5:00 PM FRI 9:00 AM-5:00 PM SAT 10:00 AM-3:00 PM,Ohio,,,,,private,(304) 905-0100,https://www.taylorspreowned.com/,https://www.google.com/maps/search/?api=1&query=Taylor%27s%20Preowned%20Autos%20430%20National%20Rd%2C%20Wheeling%2C%20WV%2026003%20%2824%20mi%29,No dealer website provided
